2013-04-28 16:04:31 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-28 16:04:33 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-28 17:38:49 - INFO --> Blackjack Constructed called with id: ; '123'
2013-04-28 17:38:49 - INFO --> a Stay in GameController 
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '3'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '4'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '5'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '6'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '7'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '8'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '9'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '10'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '11'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '12'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '13'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '14'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '15'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '30'
2013-04-28 17:38:51 - INFO --> Blackjack Constructed called with id: ; '123'
2013-04-28 17:38:53 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-28 17:38:56 - INFO --> Blackjack Constructed called with id: ; NULL
2013-04-28 17:39:00 - INFO --> createANewGame in GameController 
2013-04-28 18:08:55 - INFO --> Blackjack Constructed called with id: ; '1'
2013-04-28 18:08:55 - INFO --> Blackjack Constructed called with id: ; '2'
2013-04-28 18:08:55 - INFO --> Blackjack Constructed called with id: ; '3'
